"scaffold","number_of_loci","Sequence.Length"
"OLKM01000115.1",21,545268
"OLKM01000262.1",21,401260
"OLKM01000272.1",21,394191
"OLKM01000283.1",21,390171
"OLKM01000312.1",21,372746
"OLKM01000336.1",21,357750
"OLKM01000388.1",21,336469
"OLKM01000411.1",21,326384
"OLKM01000445.1",21,309736
"OLKM01000453.1",21,308602
"OLKM01000457.1",21,307841
"OLKM01000464.1",21,304637
"OLKM01000510.1",21,290065
"OLKM01000513.1",21,289206
"OLKM01000612.1",21,259741
"OLKM01000618.1",21,257660
"OLKM01000620.1",21,257550
"OLKM01000717.1",21,235912
"OLKM01000741.1",21,231918
"OLKM01000742.1",21,231733
"OLKM01000761.1",21,227938
"OLKM01000810.1",21,218879
"OLKM01000820.1",21,217343
"OLKM01000837.1",21,215546
"OLKM01000884.1",21,208881
"OLKM01000906.1",21,205122
"OLKM01000907.1",21,205112
"OLKM01000908.1",21,205048
"OLKM01000973.1",21,192366
"OLKM01001001.1",21,187075
"OLKM01001013.1",21,185631
"OLKM01001021.1",21,184465
"OLKM01001025.1",21,183943
"OLKM01001029.1",21,183016
"OLKM01001031.1",21,182566
"OLKM01001037.1",21,180936
"OLKM01001221.1",21,159183
"OLKM01001244.1",21,155836
"OLKM01001283.1",21,150687
"OLKM01001308.1",21,148898
"OLKM01001322.1",21,147743
"OLKM01001412.1",21,138405
"OLKM01001465.1",21,132828
"OLKM01001487.1",21,131564
"OLKM01001558.1",21,122844
"OLKM01001590.1",21,120372
"OLKM01001652.1",21,116230
"OLKM01001654.1",21,116137
"OLKM01001682.1",21,113251
"OLKM01001858.1",21,100679
"OLKM01001860.1",21,100594
"OLKM01001909.1",21,96606
"OLKM01001962.1",21,92645
"OLKM01002009.1",21,89909
"OLKM01002136.1",21,83408
"OLKM01002359.1",21,72599
"OLKM01002415.1",21,70151
"OLKM01002608.1",21,61742
"OLKM01002716.1",21,57028
"OLKM01002820.1",21,53495
"OLKM01002955.1",21,48611
"OLKM01003036.1",21,46244
"OLKM01003266.1",21,39852
"OLKM01003570.1",21,33890
"OLKM01003872.1",21,28629
"OLKM01004487.1",21,22015
"OLKM01005364.1",21,17414
"OLKM01006016.1",21,15293
"OLKM01006939.1",21,13059
"OLKM01000235.1",20,423499
"OLKM01000319.1",20,368866
"OLKM01000442.1",20,311214
"OLKM01000448.1",20,309261
"OLKM01000494.1",20,294188
"OLKM01000502.1",20,291962
"OLKM01000509.1",20,290464
"OLKM01000523.1",20,287613
"OLKM01000540.1",20,282491
"OLKM01000547.1",20,281182
"OLKM01000583.1",20,269648
"OLKM01000635.1",20,255829
"OLKM01000642.1",20,253432
"OLKM01000674.1",20,245804
"OLKM01000683.1",20,243451
"OLKM01000723.1",20,234758
"OLKM01000724.1",20,234205
"OLKM01000727.1",20,233914
"OLKM01000736.1",20,232444
"OLKM01000740.1",20,232273
"OLKM01000762.1",20,227915
"OLKM01000777.1",20,224304
"OLKM01000784.1",20,223093
"OLKM01000790.1",20,222126
"OLKM01000807.1",20,219401
"OLKM01000831.1",20,216589
"OLKM01000838.1",20,215396
"OLKM01000869.1",20,210662
"OLKM01000898.1",20,206774
"OLKM01000911.1",20,204386
"OLKM01000959.1",20,194324
"OLKM01001035.1",20,181680
"OLKM01001041.1",20,180387
"OLKM01001106.1",20,172175
"OLKM01001112.1",20,171555
"OLKM01001171.1",20,164732
"OLKM01001271.1",20,151697
"OLKM01001285.1",20,150499
"OLKM01001296.1",20,149773
"OLKM01001363.1",20,143033
"OLKM01001370.1",20,141874
"OLKM01001393.1",20,139922
"OLKM01001472.1",20,132179
"OLKM01001609.1",20,119386
"OLKM01001622.1",20,118443
"OLKM01001695.1",20,112455
"OLKM01001779.1",20,106065
"OLKM01001802.1",20,104393
"OLKM01001840.1",20,101776
"OLKM01001907.1",20,96733
"OLKM01002160.1",20,82260
"OLKM01002252.1",20,77078
"OLKM01002367.1",20,72281
"OLKM01002535.1",20,65062
"OLKM01002856.1",20,52096
"OLKM01003562.1",20,33979
"OLKM01003955.1",20,27336
"OLKM01005662.1",20,16387
"OLKM01006063.1",20,15202
"OLKM01006547.1",20,13968
"OLKM01000276.1",19,392953
"OLKM01000482.1",19,297213
"OLKM01000552.1",19,280277
"OLKM01000556.1",19,279395
"OLKM01000629.1",19,256515
"OLKM01000652.1",19,250633
"OLKM01000663.1",19,248203
"OLKM01000693.1",19,241481
"OLKM01000701.1",19,239087
"OLKM01000725.1",19,234134
"OLKM01000737.1",19,232366
"OLKM01000756.1",19,228330
"OLKM01000767.1",19,226564
"OLKM01000772.1",19,225428
"OLKM01000781.1",19,223922
"OLKM01000855.1",19,212025
"OLKM01000877.1",19,209348
"OLKM01000902.1",19,205868
"OLKM01000912.1",19,204348
"OLKM01000920.1",19,202316
"OLKM01000957.1",19,194517
"OLKM01000958.1",19,194336
"OLKM01001022.1",19,184394
"OLKM01001062.1",19,177262
"OLKM01001080.1",19,175988
"OLKM01001087.1",19,174269
"OLKM01001096.1",19,172990
"OLKM01001165.1",19,165560
"OLKM01001174.1",19,164557
"OLKM01001183.1",19,163441
"OLKM01001306.1",19,149026
"OLKM01001334.1",19,146151
"OLKM01001362.1",19,143271
"OLKM01001388.1",19,140539
"OLKM01001405.1",19,138890
"OLKM01001413.1",19,138094
"OLKM01001478.1",19,131883
"OLKM01001480.1",19,131767
"OLKM01001495.1",19,130716
"OLKM01001552.1",19,123613
"OLKM01001563.1",19,122309
"OLKM01001642.1",19,117036
"OLKM01001656.1",19,116000
"OLKM01001712.1",19,111513
"OLKM01001755.1",19,108018
"OLKM01001790.1",19,105233
"OLKM01001811.1",19,103897
"OLKM01001936.1",19,94807
"OLKM01001961.1",19,92702
"OLKM01002016.1",19,89770
"OLKM01002021.1",19,89454
"OLKM01002101.1",19,85267
"OLKM01002129.1",19,83845
"OLKM01002171.1",19,81779
"OLKM01002366.1",19,72283
"OLKM01002728.1",19,56643
"OLKM01002864.1",19,51872
"OLKM01003488.1",19,35445
"OLKM01003897.1",19,28219
"OLKM01004118.1",19,25259
"OLKM01004653.1",19,20850
"OLKM01004832.1",19,19794
"OLKM01004965.1",19,19114
"OLKM01006685.1",19,13640
"OLKM01006707.1",19,13585
"OLKM01007113.1",19,12601
"OLKM01000094.1",18,584128
"OLKM01000226.1",18,427165
"OLKM01000328.1",18,361592
"OLKM01000389.1",18,336466
"OLKM01000428.1",18,319808
"OLKM01000465.1",18,303893
"OLKM01000474.1",18,300205
"OLKM01000535.1",18,284642
"OLKM01000544.1",18,281548
"OLKM01000575.1",18,273802
"OLKM01000606.1",18,262316
"OLKM01000636.1",18,255473
"OLKM01000710.1",18,237132
"OLKM01000746.1",18,231028
"OLKM01000747.1",18,230803
"OLKM01000755.1",18,228498
"OLKM01000771.1",18,225671
"OLKM01000798.1",18,221454
"OLKM01000832.1",18,216168
"OLKM01000880.1",18,209126
"OLKM01000891.1",18,207815
"OLKM01000895.1",18,207549
"OLKM01000903.1",18,205422
"OLKM01000933.1",18,199327
"OLKM01000971.1",18,192670
"OLKM01000981.1",18,190716
"OLKM01001006.1",18,186589
"OLKM01001017.1",18,185288
"OLKM01001051.1",18,179258
"OLKM01001069.1",18,176771
"OLKM01001090.1",18,173789
"OLKM01001142.1",18,167768
"OLKM01001181.1",18,163480
"OLKM01001220.1",18,159360
"OLKM01001242.1",18,155984
"OLKM01001252.1",18,154527
"OLKM01001262.1",18,152729
"OLKM01001352.1",18,144663
"OLKM01001378.1",18,141211
"OLKM01001455.1",18,133990
"OLKM01001463.1",18,133187
"OLKM01001475.1",18,131893
"OLKM01001513.1",18,127955
"OLKM01001551.1",18,123879
"OLKM01001573.1",18,121346
"OLKM01001599.1",18,119762
"OLKM01001817.1",18,103443
"OLKM01001836.1",18,102094
"OLKM01001848.1",18,101266
"OLKM01001856.1",18,100836
"OLKM01001893.1",18,98018
"OLKM01001920.1",18,96005
"OLKM01001959.1",18,92798
"OLKM01002052.1",18,87730
"OLKM01002111.1",18,84650
"OLKM01002341.1",18,73407
"OLKM01002358.1",18,72679
"OLKM01002605.1",18,61834
"OLKM01002619.1",18,61300
"OLKM01002840.1",18,52880
"OLKM01002976.1",18,47753
"OLKM01003461.1",18,36020
"OLKM01003915.1",18,27875
"OLKM01004107.1",18,25372
"OLKM01004237.1",18,24060
"OLKM01004455.1",18,22268
"OLKM01004603.1",18,21252
"OLKM01004619.1",18,21112
"OLKM01005265.1",18,17783
"OLKM01005753.1",18,16025
"OLKM01007104.1",18,12615
"OLKM01000021.1",17,855689
"OLKM01000135.1",17,517885
"OLKM01000403.1",17,329334
"OLKM01000471.1",17,302061
"OLKM01000550.1",17,280474
"OLKM01000570.1",17,275671
"OLKM01000691.1",17,242348
"OLKM01000745.1",17,231154
"OLKM01000749.1",17,229986
"OLKM01000770.1",17,225741
"OLKM01000885.1",17,208515
"OLKM01000900.1",17,206387
"OLKM01000929.1",17,200262
"OLKM01000944.1",17,197414
"OLKM01000972.1",17,192483
"OLKM01000974.1",17,192218
"OLKM01001015.1",17,185598
"OLKM01001058.1",17,177941
"OLKM01001081.1",17,175685
"OLKM01001120.1",17,170594
"OLKM01001139.1",17,168033
"OLKM01001185.1",17,162954
"OLKM01001189.1",17,162723
"OLKM01001195.1",17,161913
"OLKM01001228.1",17,158304
"OLKM01001231.1",17,157210
"OLKM01001257.1",17,153632
"OLKM01001266.1",17,152236
"OLKM01001326.1",17,147211
"OLKM01001360.1",17,143808
"OLKM01001383.1",17,140808
"OLKM01001401.1",17,139287
"OLKM01001409.1",17,138630
"OLKM01001422.1",17,137125
"OLKM01001503.1",17,129310
"OLKM01001593.1",17,120223
"OLKM01001595.1",17,120114
"OLKM01001646.1",17,116479
"OLKM01001753.1",17,108372
"OLKM01001805.1",17,104234
"OLKM01001883.1",17,98923
"OLKM01001884.1",17,98748
"OLKM01001900.1",17,97583
"OLKM01001915.1",17,96167
"OLKM01001995.1",17,91053
"OLKM01002007.1",17,90094
"OLKM01002133.1",17,83594
"OLKM01002162.1",17,82168
"OLKM01002173.1",17,81508
"OLKM01002214.1",17,79070
"OLKM01002438.1",17,68974
"OLKM01002723.1",17,56791
"OLKM01002898.1",17,50832
"OLKM01002907.1",17,50473
"OLKM01002947.1",17,48876
"OLKM01003065.1",17,45282
"OLKM01003138.1",17,43018
"OLKM01003510.1",17,34981
"OLKM01003529.1",17,34650
"OLKM01003754.1",17,30553
"OLKM01003881.1",17,28422
"OLKM01004025.1",17,26420
"OLKM01004292.1",17,23603
"OLKM01004926.1",17,19292
"OLKM01005562.1",17,16764
"OLKM01005649.1",17,16444
"OLKM01005821.1",17,15842
"OLKM01006138.1",17,15028
"OLKM01006344.1",17,14509
"OLKM01006422.1",17,14317
"OLKM01006944.1",17,13038
"OLKM01007587.1",17,11376
"OLKM01007794.1",17,10778
"OLKM01000141.1",16,509508
"OLKM01000371.1",16,342630
"OLKM01000372.1",16,341515
"OLKM01000459.1",16,305763
"OLKM01000477.1",16,299342
"OLKM01000506.1",16,290947
"OLKM01000519.1",16,288323
"OLKM01000525.1",16,287276
"OLKM01000563.1",16,277259
"OLKM01000609.1",16,261978
"OLKM01000616.1",16,257787
"OLKM01000621.1",16,257447
"OLKM01000656.1",16,249813
"OLKM01000666.1",16,247622
"OLKM01000712.1",16,236809
"OLKM01000721.1",16,235067
"OLKM01000733.1",16,232952
"OLKM01000734.1",16,232905
"OLKM01000795.1",16,221676
"OLKM01000870.1",16,210636
"OLKM01000881.1",16,209109
"OLKM01000950.1",16,195524
"OLKM01000955.1",16,194567
"OLKM01001023.1",16,184284
"OLKM01001026.1",16,183859
"OLKM01001057.1",16,178067
"OLKM01001147.1",16,167391
"OLKM01001155.1",16,166625
"OLKM01001207.1",16,160923
"OLKM01001214.1",16,160090
"OLKM01001229.1",16,157761
"OLKM01001253.1",16,154181
"OLKM01001272.1",16,151690
"OLKM01001294.1",16,149827
"OLKM01001300.1",16,149592
"OLKM01001331.1",16,146788
"OLKM01001390.1",16,140294
"OLKM01001432.1",16,136254
"OLKM01001476.1",16,131889
"OLKM01001639.1",16,117186
"OLKM01001640.1",16,117118
"OLKM01001739.1",16,109296
"OLKM01001770.1",16,106655
"OLKM01001809.1",16,103938
"OLKM01001875.1",16,99768
"OLKM01001919.1",16,96018
"OLKM01001956.1",16,93124
"OLKM01001968.1",16,92432
"OLKM01002000.1",16,90703
"OLKM01002013.1",16,89832
"OLKM01002057.1",16,87426
"OLKM01002069.1",16,86727
"OLKM01002134.1",16,83566
"OLKM01002267.1",16,76386
"OLKM01002279.1",16,75782
"OLKM01002317.1",16,74366
"OLKM01002376.1",16,71642
"OLKM01002385.1",16,71232
"OLKM01002423.1",16,69876
"OLKM01002465.1",16,68025
"OLKM01002473.1",16,67447
"OLKM01002614.1",16,61547
"OLKM01002655.1",16,59617
"OLKM01003011.1",16,47083
"OLKM01003162.1",16,42571
"OLKM01003622.1",16,33095
"OLKM01003666.1",16,32398
"OLKM01003765.1",16,30296
"OLKM01003818.1",16,29460
"OLKM01004064.1",16,25909
"OLKM01004865.1",16,19567
"OLKM01005677.1",16,16304
"OLKM01005822.1",16,15838
"OLKM01005953.1",16,15480
"OLKM01006400.1",16,14375
"OLKM01006450.1",16,14247
"OLKM01006886.1",16,13162
"OLKM01007073.1",16,12696
"OLKM01007190.1",16,12402
"OLKM01007263.1",16,12177
"OLKM01000281.1",15,390901
"OLKM01000365.1",15,346211
"OLKM01000381.1",15,338098
"OLKM01000478.1",15,298602
"OLKM01000546.1",15,281444
"OLKM01000579.1",15,272395
"OLKM01000587.1",15,268728
"OLKM01000599.1",15,264616
"OLKM01000661.1",15,248397
"OLKM01000685.1",15,243339
"OLKM01000720.1",15,235493
"OLKM01000754.1",15,228794
"OLKM01000765.1",15,227183
"OLKM01000825.1",15,217069
"OLKM01000848.1",15,213395
"OLKM01000852.1",15,212600
"OLKM01000858.1",15,211517
"OLKM01000874.1",15,209915
"OLKM01000887.1",15,208265
"OLKM01000905.1",15,205199
"OLKM01000942.1",15,197729
"OLKM01000948.1",15,196101
"OLKM01000983.1",15,190499
"OLKM01001019.1",15,184925
"OLKM01001073.1",15,176522
"OLKM01001110.1",15,171892
"OLKM01001113.1",15,171173
"OLKM01001138.1",15,168069
"OLKM01001145.1",15,167588
"OLKM01001148.1",15,167216
"OLKM01001169.1",15,165020
"OLKM01001233.1",15,157123
"OLKM01001256.1",15,153823
"OLKM01001312.1",15,148544
"OLKM01001324.1",15,147467
"OLKM01001339.1",15,145562
"OLKM01001355.1",15,144388
"OLKM01001385.1",15,140716
"OLKM01001449.1",15,134602
"OLKM01001470.1",15,132384
"OLKM01001510.1",15,128164
"OLKM01001512.1",15,128073
"OLKM01001517.1",15,127637
"OLKM01001532.1",15,126421
"OLKM01001535.1",15,125944
"OLKM01001570.1",15,121548
"OLKM01001578.1",15,120941
"OLKM01001606.1",15,119472
"OLKM01001631.1",15,117560
"OLKM01001632.1",15,117522
"OLKM01001647.1",15,116465
"OLKM01001757.1",15,107830
"OLKM01001822.1",15,103174
"OLKM01001935.1",15,94808
"OLKM01001938.1",15,94680
"OLKM01001965.1",15,92520
"OLKM01002036.1",15,88711
"OLKM01002154.1",15,82722
"OLKM01002200.1",15,79778
"OLKM01002271.1",15,76245
"OLKM01002301.1",15,74899
"OLKM01002344.1",15,73216
"OLKM01002346.1",15,73108
"OLKM01002371.1",15,71955
"OLKM01002476.1",15,67416
"OLKM01002562.1",15,64081
"OLKM01002689.1",15,57892
"OLKM01002695.1",15,57800
"OLKM01002745.1",15,56152
"OLKM01002841.1",15,52806
"OLKM01002869.1",15,51644
"OLKM01002874.1",15,51572
"OLKM01002881.1",15,51388
"OLKM01002963.1",15,48165
"OLKM01002982.1",15,47537
"OLKM01003198.1",15,41637
"OLKM01003229.1",15,40821
"OLKM01003636.1",15,32816
"OLKM01003966.1",15,27165
"OLKM01004042.1",15,26152
"OLKM01004264.1",15,23870
"OLKM01004281.1",15,23661
"OLKM01004565.1",15,21567
"OLKM01005636.1",15,16509
"OLKM01007068.1",15,12705
"OLKM01007435.1",15,11827
"OLKM01007960.1",15,10240
"OLKM01008104.1",15,8741
"OLKM01000247.1",14,410158
"OLKM01000289.1",14,385049
"OLKM01000297.1",14,382272
"OLKM01000409.1",14,327330
"OLKM01000425.1",14,320267
"OLKM01000436.1",14,315301
"OLKM01000437.1",14,315270
"OLKM01000452.1",14,308760
"OLKM01000487.1",14,296204
"OLKM01000558.1",14,278788
"OLKM01000704.1",14,238098
"OLKM01000788.1",14,222204
"OLKM01000802.1",14,220426
"OLKM01000814.1",14,217886
"OLKM01000835.1",14,215699
"OLKM01000866.1",14,211065
"OLKM01000888.1",14,208146
"OLKM01000894.1",14,207587
"OLKM01000896.1",14,207496
"OLKM01000917.1",14,202985
"OLKM01000966.1",14,193707
"OLKM01000986.1",14,189976
"OLKM01001045.1",14,180050
"OLKM01001067.1",14,176875
"OLKM01001075.1",14,176399
"OLKM01001091.1",14,173362
"OLKM01001111.1",14,171748
"OLKM01001124.1",14,169754
"OLKM01001134.1",14,168497
"OLKM01001146.1",14,167416
"OLKM01001194.1",14,161969
"OLKM01001198.1",14,161566
"OLKM01001215.1",14,160003
"OLKM01001235.1",14,156630
"OLKM01001282.1",14,150763
"OLKM01001309.1",14,148832
"OLKM01001336.1",14,146108
"OLKM01001350.1",14,144918
"OLKM01001351.1",14,144769
"OLKM01001357.1",14,144262
"OLKM01001361.1",14,143592
"OLKM01001417.1",14,137598
"OLKM01001424.1",14,136919
"OLKM01001466.1",14,132728
"OLKM01001496.1",14,130471
"OLKM01001528.1",14,126898
"OLKM01001543.1",14,124851
"OLKM01001548.1",14,124304
"OLKM01001596.1",14,119958
"OLKM01001662.1",14,115462
"OLKM01001678.1",14,113753
"OLKM01001691.1",14,112592
"OLKM01001703.1",14,112174
"OLKM01001710.1",14,111544
"OLKM01001749.1",14,108771
"OLKM01001794.1",14,104897
"OLKM01001798.1",14,104811
"OLKM01001847.1",14,101362
"OLKM01001859.1",14,100645
"OLKM01001865.1",14,100348
"OLKM01001885.1",14,98624
"OLKM01001930.1",14,95245
"OLKM01001954.1",14,93436
"OLKM01001990.1",14,91408
"OLKM01002002.1",14,90567
"OLKM01002212.1",14,79150
"OLKM01002224.1",14,78551
"OLKM01002234.1",14,78032
"OLKM01002270.1",14,76278
"OLKM01002281.1",14,75734
"OLKM01002296.1",14,75138
"OLKM01002434.1",14,69394
"OLKM01002591.1",14,62278
"OLKM01002661.1",14,59284
"OLKM01002706.1",14,57379
"OLKM01002731.1",14,56504
"OLKM01002807.1",14,54042
"OLKM01002863.1",14,51898
"OLKM01002899.1",14,50805
"OLKM01002975.1",14,47773
"OLKM01003014.1",14,46893
"OLKM01003022.1",14,46539
"OLKM01003052.1",14,45627
"OLKM01003074.1",14,44970
"OLKM01003104.1",14,44120
"OLKM01003251.1",14,40130
"OLKM01003422.1",14,36713
"OLKM01003428.1",14,36671
"OLKM01003739.1",14,31030
"OLKM01003855.1",14,28845
"OLKM01003987.1",14,26805
"OLKM01004098.1",14,25465
"OLKM01004275.1",14,23735
"OLKM01004470.1",14,22179
"OLKM01004668.1",14,20756
"OLKM01004669.1",14,20749
"OLKM01004804.1",14,19980
"OLKM01004827.1",14,19822
"OLKM01005161.1",14,18192
"OLKM01005283.1",14,17707
"OLKM01005313.1",14,17589
"OLKM01006174.1",14,14941
"OLKM01006602.1",14,13849
"OLKM01006764.1",14,13456
"OLKM01006877.1",14,13185
"OLKM01007349.1",14,12002
"OLKM01007372.1",14,11956
"OLKM01007423.1",14,11853
"OLKM01007784.1",14,10811
"OLKM01000152.1",13,493520
"OLKM01000214.1",13,438202
"OLKM01000293.1",13,382823
"OLKM01000354.1",13,349322
"OLKM01000451.1",13,308930
"OLKM01000470.1",13,302403
"OLKM01000549.1",13,280621
"OLKM01000566.1",13,275952
"OLKM01000573.1",13,274692
"OLKM01000582.1",13,270672
"OLKM01000669.1",13,246692
"OLKM01000673.1",13,245864
"OLKM01000687.1",13,242669
"OLKM01000707.1",13,237833
"OLKM01000753.1",13,228873
"OLKM01000785.1",13,223049
"OLKM01000854.1",13,212294
"OLKM01000860.1",13,211471
"OLKM01000864.1",13,211238
"OLKM01000872.1",13,210236
"OLKM01000883.1",13,208947
"OLKM01000899.1",13,206525
"OLKM01000915.1",13,203174
"OLKM01000925.1",13,200965
"OLKM01000927.1",13,200752
"OLKM01000932.1",13,199640
"OLKM01000936.1",13,198902
"OLKM01000938.1",13,198648
"OLKM01000953.1",13,194817
"OLKM01001008.1",13,186154
"OLKM01001009.1",13,186047
"OLKM01001044.1",13,180265
"OLKM01001048.1",13,179780
"OLKM01001116.1",13,171075
"OLKM01001128.1",13,168790
"OLKM01001160.1",13,166322
"OLKM01001177.1",13,164059
"OLKM01001199.1",13,161408
"OLKM01001210.1",13,160638
"OLKM01001249.1",13,155071
"OLKM01001278.1",13,151179
"OLKM01001284.1",13,150581
"OLKM01001338.1",13,145914
"OLKM01001387.1",13,140582
"OLKM01001402.1",13,139235
"OLKM01001420.1",13,137251
"OLKM01001438.1",13,135625
"OLKM01001450.1",13,134481
"OLKM01001451.1",13,134446
"OLKM01001462.1",13,133249
"OLKM01001468.1",13,132469
"OLKM01001493.1",13,130780
"OLKM01001499.1",13,129996
"OLKM01001526.1",13,127066
"OLKM01001531.1",13,126758
"OLKM01001546.1",13,124664
"OLKM01001612.1",13,118911
"OLKM01001615.1",13,118745
"OLKM01001627.1",13,118073
"OLKM01001650.1",13,116417
"OLKM01001665.1",13,115091
"OLKM01001693.1",13,112537
"OLKM01001704.1",13,112068
"OLKM01001708.1",13,111627
"OLKM01001715.1",13,111346
"OLKM01001724.1",13,110659
"OLKM01001744.1",13,109107
"OLKM01001764.1",13,107192
"OLKM01001773.1",13,106428
"OLKM01001786.1",13,105541
"OLKM01001787.1",13,105500
"OLKM01001843.1",13,101694
"OLKM01001845.1",13,101460
"OLKM01001862.1",13,100533
"OLKM01001863.1",13,100527
"OLKM01001876.1",13,99707
"OLKM01001888.1",13,98447
"OLKM01001916.1",13,96160
"OLKM01001946.1",13,93975
"OLKM01001970.1",13,92365
"OLKM01002019.1",13,89712
"OLKM01002103.1",13,85249
"OLKM01002187.1",13,80533
"OLKM01002195.1",13,80029
"OLKM01002204.1",13,79621
"OLKM01002249.1",13,77256
"OLKM01002263.1",13,76448
"OLKM01002272.1",13,76241
"OLKM01002323.1",13,74222
"OLKM01002394.1",13,70969
"OLKM01002478.1",13,67246
"OLKM01002500.1",13,66553
"OLKM01002516.1",13,65628
"OLKM01002639.1",13,60394
"OLKM01002672.1",13,58914
"OLKM01002719.1",13,56878
"OLKM01002739.1",13,56276
"OLKM01002802.1",13,54351
"OLKM01002875.1",13,51507
"OLKM01002939.1",13,49335
"OLKM01002984.1",13,47498
"OLKM01003093.1",13,44365
"OLKM01003205.1",13,41365
"OLKM01003539.1",13,34355
"OLKM01003770.1",13,30257
"OLKM01004114.1",13,25279
"OLKM01004201.1",13,24310
"OLKM01004366.1",13,22928
"OLKM01004542.1",13,21676
"OLKM01004632.1",13,21025
"OLKM01004662.1",13,20780
"OLKM01004687.1",13,20619
"OLKM01004691.1",13,20586
"OLKM01004831.1",13,19808
"OLKM01004861.1",13,19575
"OLKM01005063.1",13,18640
"OLKM01005339.1",13,17498
"OLKM01005640.1",13,16488
"OLKM01005679.1",13,16293
"OLKM01005695.1",13,16221
"OLKM01005707.1",13,16170
"OLKM01006042.1",13,15252
"OLKM01006158.1",13,14980
"OLKM01006190.1",13,14905
"OLKM01006784.1",13,13411
"OLKM01006793.1",13,13394
"OLKM01006820.1",13,13327
"OLKM01007028.1",13,12819
"OLKM01007447.1",13,11801
"OLKM01007678.1",13,11113
"OLKM01007744.1",13,10908
"OLKM01007774.1",13,10838
"OLKM01000294.1",12,382761
"OLKM01000422.1",12,321748
"OLKM01000507.1",12,290819
"OLKM01000551.1",12,280343
"OLKM01000562.1",12,277467
"OLKM01000567.1",12,275820
"OLKM01000638.1",12,254456
"OLKM01000763.1",12,227554
"OLKM01000768.1",12,226309
"OLKM01000842.1",12,214952
"OLKM01000943.1",12,197510
"OLKM01000963.1",12,194171
"OLKM01000965.1",12,193775
"OLKM01000992.1",12,188319
"OLKM01001004.1",12,186823
"OLKM01001084.1",12,174561
"OLKM01001131.1",12,168646
"OLKM01001143.1",12,167763
"OLKM01001159.1",12,166343
"OLKM01001182.1",12,163471
"OLKM01001217.1",12,159779
"OLKM01001234.1",12,156849
"OLKM01001236.1",12,156395
"OLKM01001240.1",12,156067
"OLKM01001255.1",12,153972
"OLKM01001288.1",12,150037
"OLKM01001292.1",12,149918
"OLKM01001307.1",12,148988
"OLKM01001315.1",12,148267
"OLKM01001317.1",12,148021
"OLKM01001347.1",12,145009
"OLKM01001372.1",12,141704
"OLKM01001376.1",12,141299
"OLKM01001425.1",12,136890
"OLKM01001440.1",12,135436
"OLKM01001441.1",12,135353
"OLKM01001457.1",12,133737
"OLKM01001459.1",12,133522
"OLKM01001469.1",12,132410
"OLKM01001484.1",12,131663
"OLKM01001502.1",12,129818
"OLKM01001505.1",12,128966
"OLKM01001530.1",12,126875
"OLKM01001542.1",12,124945
"OLKM01001574.1",12,121282
"OLKM01001594.1",12,120183
"OLKM01001598.1",12,119827
"OLKM01001630.1",12,117831
"OLKM01001651.1",12,116289
"OLKM01001659.1",12,115665
"OLKM01001702.1",12,112179
"OLKM01001709.1",12,111587
"OLKM01001716.1",12,111187
"OLKM01001735.1",12,109705
"OLKM01001788.1",12,105388
"OLKM01001810.1",12,103910
"OLKM01001854.1",12,100932
"OLKM01001914.1",12,96252
"OLKM01001958.1",12,92890
"OLKM01002010.1",12,89879
"OLKM01002035.1",12,88715
"OLKM01002053.1",12,87704
"OLKM01002055.1",12,87574
"OLKM01002070.1",12,86689
"OLKM01002076.1",12,86261
"OLKM01002085.1",12,85961
"OLKM01002092.1",12,85646
"OLKM01002100.1",12,85270
"OLKM01002108.1",12,84741
"OLKM01002118.1",12,84243
"OLKM01002120.1",12,84164
"OLKM01002130.1",12,83712
"OLKM01002148.1",12,82993
"OLKM01002170.1",12,81827
"OLKM01002199.1",12,79827
"OLKM01002247.1",12,77449
"OLKM01002277.1",12,75954
"OLKM01002311.1",12,74520
"OLKM01002360.1",12,72539
"OLKM01002408.1",12,70455
"OLKM01002483.1",12,67028
"OLKM01002484.1",12,67026
"OLKM01002523.1",12,65407
"OLKM01002560.1",12,64172
"OLKM01002568.1",12,63690
"OLKM01002575.1",12,63446
"OLKM01002594.1",12,62113
"OLKM01002640.1",12,60313
"OLKM01002688.1",12,57911
"OLKM01002715.1",12,57052
"OLKM01002735.1",12,56405
"OLKM01002766.1",12,55394
"OLKM01002845.1",12,52653
"OLKM01002871.1",12,51614
"OLKM01002926.1",12,49848
"OLKM01002962.1",12,48217
"OLKM01003004.1",12,47154
"OLKM01003009.1",12,47110
"OLKM01003120.1",12,43543
"OLKM01003124.1",12,43463
"OLKM01003154.1",12,42710
"OLKM01003224.1",12,40914
"OLKM01003228.1",12,40823
"OLKM01003277.1",12,39657
"OLKM01003359.1",12,38042
"OLKM01003363.1",12,37982
"OLKM01003462.1",12,36019
"OLKM01003508.1",12,34999
"OLKM01003564.1",12,33958
"OLKM01003588.1",12,33620
"OLKM01003809.1",12,29606
"OLKM01003885.1",12,28385
"OLKM01003901.1",12,28136
"OLKM01004002.1",12,26664
"OLKM01004088.1",12,25600
"OLKM01004112.1",12,25313
"OLKM01004227.1",12,24152
"OLKM01004373.1",12,22871
"OLKM01004527.1",12,21790
"OLKM01004787.1",12,20073
"OLKM01004811.1",12,19916
"OLKM01004847.1",12,19699
"OLKM01004919.1",12,19322
"OLKM01005138.1",12,18281
"OLKM01005201.1",12,18043
