"scaffold","number_of_loci","Sequence.Length"
"OLKM01003981.1",16,26867
"OLKM01004304.1",16,23529
"OLKM01004515.1",16,21861
"OLKM01004965.1",16,19114
"OLKM01005876.1",16,15697
"OLKM01006374.1",16,14440
"OLKM01007696.1",16,11037
"OLKM01000021.1",15,855689
"OLKM01000067.1",15,648409
"OLKM01000094.1",15,584128
"OLKM01000097.1",15,581224
"OLKM01000294.1",15,382761
"OLKM01000319.1",15,368866
"OLKM01000328.1",15,361592
"OLKM01000349.1",15,350130
"OLKM01000350.1",15,349576
"OLKM01000410.1",15,327100
"OLKM01000476.1",15,299817
"OLKM01000491.1",15,295005
"OLKM01000510.1",15,290065
"OLKM01000554.1",15,279518
"OLKM01000628.1",15,256553
"OLKM01000642.1",15,253432
"OLKM01000649.1",15,251286
"OLKM01000670.1",15,246190
"OLKM01000671.1",15,246068
"OLKM01000708.1",15,237558
"OLKM01000725.1",15,234134
"OLKM01000732.1",15,233193
"OLKM01000740.1",15,232273
"OLKM01000756.1",15,228330
"OLKM01000800.1",15,221270
"OLKM01000844.1",15,214285
"OLKM01000864.1",15,211238
"OLKM01000869.1",15,210662
"OLKM01000971.1",15,192670
"OLKM01000975.1",15,192119
"OLKM01001001.1",15,187075
"OLKM01001023.1",15,184284
"OLKM01001048.1",15,179780
"OLKM01001158.1",15,166399
"OLKM01001186.1",15,162951
"OLKM01001192.1",15,162483
"OLKM01001199.1",15,161408
"OLKM01001215.1",15,160003
"OLKM01001306.1",15,149026
"OLKM01001481.1",15,131753
"OLKM01001639.1",15,117186
"OLKM01001652.1",15,116230
"OLKM01001809.1",15,103938
"OLKM01001812.1",15,103778
"OLKM01001946.1",15,93975
"OLKM01002083.1",15,86058
"OLKM01002279.1",15,75782
"OLKM01002326.1",15,74099
"OLKM01002386.1",15,71185
"OLKM01002608.1",15,61742
"OLKM01002719.1",15,56878
"OLKM01002820.1",15,53495
"OLKM01002899.1",15,50805
"OLKM01004035.1",15,26304
"OLKM01004136.1",15,25011
"OLKM01004537.1",15,21707
"OLKM01005610.1",15,16588
"OLKM01005679.1",15,16293
"OLKM01005767.1",15,15984
"OLKM01006707.1",15,13585
"OLKM01007774.1",15,10838
"OLKM01007784.1",15,10811
"OLKM01000135.1",14,517885
"OLKM01000141.1",14,509508
"OLKM01000226.1",14,427165
"OLKM01000228.1",14,425859
"OLKM01000249.1",14,409382
"OLKM01000261.1",14,401321
"OLKM01000292.1",14,383048
"OLKM01000307.1",14,376846
"OLKM01000334.1",14,358307
"OLKM01000348.1",14,350207
"OLKM01000378.1",14,338346
"OLKM01000381.1",14,338098
"OLKM01000399.1",14,331164
"OLKM01000482.1",14,297213
"OLKM01000487.1",14,296204
"OLKM01000513.1",14,289206
"OLKM01000540.1",14,282491
"OLKM01000578.1",14,272978
"OLKM01000600.1",14,264487
"OLKM01000604.1",14,262622
"OLKM01000605.1",14,262535
"OLKM01000618.1",14,257660
"OLKM01000623.1",14,257212
"OLKM01000633.1",14,256208
"OLKM01000658.1",14,248695
"OLKM01000710.1",14,237132
"OLKM01000748.1",14,230456
"OLKM01000750.1",14,229601
"OLKM01000772.1",14,225428
"OLKM01000777.1",14,224304
"OLKM01000778.1",14,224259
"OLKM01000807.1",14,219401
"OLKM01000811.1",14,218860
"OLKM01000832.1",14,216168
"OLKM01000896.1",14,207496
"OLKM01000950.1",14,195524
"OLKM01000957.1",14,194517
"OLKM01000967.1",14,193635
"OLKM01001015.1",14,185598
"OLKM01001019.1",14,184925
"OLKM01001062.1",14,177262
"OLKM01001074.1",14,176477
"OLKM01001090.1",14,173789
"OLKM01001235.1",14,156630
"OLKM01001355.1",14,144388
"OLKM01001401.1",14,139287
"OLKM01001445.1",14,135167
"OLKM01001627.1",14,118073
"OLKM01001798.1",14,104811
"OLKM01001859.1",14,100645
"OLKM01001933.1",14,94946
"OLKM01001985.1",14,91634
"OLKM01002016.1",14,89770
"OLKM01002021.1",14,89454
"OLKM01002108.1",14,84741
"OLKM01002134.1",14,83566
"OLKM01002137.1",14,83345
"OLKM01002184.1",14,80663
"OLKM01002235.1",14,77936
"OLKM01002242.1",14,77665
"OLKM01002359.1",14,72599
"OLKM01003008.1",14,47122
"OLKM01003363.1",14,37982
"OLKM01004017.1",14,26482
"OLKM01004064.1",14,25909
"OLKM01004375.1",14,22870
"OLKM01004811.1",14,19916
"OLKM01005397.1",14,17314
"OLKM01005822.1",14,15838
"OLKM01006016.1",14,15293
"OLKM01006400.1",14,14375
"OLKM01006450.1",14,14247
"OLKM01008079.1",14,9322
"OLKM01008151.1",14,7736
"OLKM01000117.1",13,541155
"OLKM01000163.1",13,480947
"OLKM01000232.1",13,424214
"OLKM01000272.1",13,394191
"OLKM01000279.1",13,391340
"OLKM01000371.1",13,342630
"OLKM01000389.1",13,336466
"OLKM01000409.1",13,327330
"OLKM01000431.1",13,318549
"OLKM01000444.1",13,310217
"OLKM01000483.1",13,296995
"OLKM01000533.1",13,285039
"OLKM01000550.1",13,280474
"OLKM01000630.1",13,256310
"OLKM01000673.1",13,245864
"OLKM01000704.1",13,238098
"OLKM01000721.1",13,235067
"OLKM01000724.1",13,234205
"OLKM01000734.1",13,232905
"OLKM01000736.1",13,232444
"OLKM01000745.1",13,231154
"OLKM01000770.1",13,225741
"OLKM01000780.1",13,224005
"OLKM01000823.1",13,217089
"OLKM01000841.1",13,215116
"OLKM01000880.1",13,209126
"OLKM01000895.1",13,207549
"OLKM01000898.1",13,206774
"OLKM01000905.1",13,205199
"OLKM01000912.1",13,204348
"OLKM01000915.1",13,203174
"OLKM01000925.1",13,200965
"OLKM01000933.1",13,199327
"OLKM01001008.1",13,186154
"OLKM01001034.1",13,181843
"OLKM01001070.1",13,176767
"OLKM01001078.1",13,176147
"OLKM01001080.1",13,175988
"OLKM01001111.1",13,171748
"OLKM01001118.1",13,170804
"OLKM01001121.1",13,170432
"OLKM01001144.1",13,167697
"OLKM01001150.1",13,167128
"OLKM01001165.1",13,165560
"OLKM01001189.1",13,162723
"OLKM01001198.1",13,161566
"OLKM01001208.1",13,160884
"OLKM01001224.1",13,158940
"OLKM01001244.1",13,155836
"OLKM01001248.1",13,155324
"OLKM01001257.1",13,153632
"OLKM01001267.1",13,152107
"OLKM01001276.1",13,151355
"OLKM01001345.1",13,145286
"OLKM01001371.1",13,141710
"OLKM01001399.1",13,139430
"OLKM01001409.1",13,138630
"OLKM01001439.1",13,135607
"OLKM01001466.1",13,132728
"OLKM01001470.1",13,132384
"OLKM01001486.1",13,131615
"OLKM01001531.1",13,126758
"OLKM01001578.1",13,120941
"OLKM01001635.1",13,117343
"OLKM01001640.1",13,117118
"OLKM01001653.1",13,116209
"OLKM01001671.1",13,114439
"OLKM01001693.1",13,112537
"OLKM01001782.1",13,105851
"OLKM01001787.1",13,105500
"OLKM01001836.1",13,102094
"OLKM01001860.1",13,100594
"OLKM01001865.1",13,100348
"OLKM01001870.1",13,100016
"OLKM01001884.1",13,98748
"OLKM01001962.1",13,92645
"OLKM01001986.1",13,91585
"OLKM01002008.1",13,90028
"OLKM01002068.1",13,86729
"OLKM01002070.1",13,86689
"OLKM01002077.1",13,86250
"OLKM01002133.1",13,83594
"OLKM01002303.1",13,74858
"OLKM01002530.1",13,65159
"OLKM01002856.1",13,52096
"OLKM01002947.1",13,48876
"OLKM01003011.1",13,47083
"OLKM01003052.1",13,45627
"OLKM01003497.1",13,35230
"OLKM01003716.1",13,31473
"OLKM01003955.1",13,27336
"OLKM01004002.1",13,26664
"OLKM01004684.1",13,20636
"OLKM01004926.1",13,19292
"OLKM01005034.1",13,18785
"OLKM01005063.1",13,18640
"OLKM01005338.1",13,17499
"OLKM01005707.1",13,16170
"OLKM01005886.1",13,15673
"OLKM01006140.1",13,15027
"OLKM01006330.1",13,14550
"OLKM01006344.1",13,14509
"OLKM01006970.1",13,12970
"OLKM01008105.1",13,8737
"OLKM01008269.1",13,4327
"OLKM01000138.1",12,513838
"OLKM01000289.1",12,385049
"OLKM01000327.1",12,362660
"OLKM01000445.1",12,309736
"OLKM01000457.1",12,307841
"OLKM01000490.1",12,295175
"OLKM01000570.1",12,275671
"OLKM01000582.1",12,270672
"OLKM01000606.1",12,262316
"OLKM01000612.1",12,259741
"OLKM01000616.1",12,257787
"OLKM01000656.1",12,249813
"OLKM01000672.1",12,245933
"OLKM01000737.1",12,232366
"OLKM01000762.1",12,227915
"OLKM01000798.1",12,221454
"OLKM01000802.1",12,220426
"OLKM01000808.1",12,219044
"OLKM01000837.1",12,215546
"OLKM01000853.1",12,212492
"OLKM01000883.1",12,208947
"OLKM01000885.1",12,208515
"OLKM01000900.1",12,206387
"OLKM01000913.1",12,203362
"OLKM01000929.1",12,200262
"OLKM01000943.1",12,197510
"OLKM01000953.1",12,194817
"OLKM01000958.1",12,194336
"OLKM01000966.1",12,193707
"OLKM01000981.1",12,190716
"OLKM01001044.1",12,180265
"OLKM01001051.1",12,179258
"OLKM01001053.1",12,178766
"OLKM01001112.1",12,171555
"OLKM01001139.1",12,168033
"OLKM01001157.1",12,166500
"OLKM01001207.1",12,160923
"OLKM01001300.1",12,149592
"OLKM01001303.1",12,149182
"OLKM01001309.1",12,148832
"OLKM01001324.1",12,147467
"OLKM01001325.1",12,147218
"OLKM01001357.1",12,144262
"OLKM01001362.1",12,143271
"OLKM01001402.1",12,139235
"OLKM01001424.1",12,136919
"OLKM01001462.1",12,133249
"OLKM01001478.1",12,131883
"OLKM01001482.1",12,131733
"OLKM01001496.1",12,130471
"OLKM01001532.1",12,126421
"OLKM01001612.1",12,118911
"OLKM01001630.1",12,117831
"OLKM01001646.1",12,116479
"OLKM01001673.1",12,114314
"OLKM01001738.1",12,109621
"OLKM01001764.1",12,107192
"OLKM01001776.1",12,106210
"OLKM01001840.1",12,101776
"OLKM01001893.1",12,98018
"OLKM01001907.1",12,96733
"OLKM01001915.1",12,96167
"OLKM01001920.1",12,96005
"OLKM01001935.1",12,94808
"OLKM01002055.1",12,87574
"OLKM01002057.1",12,87426
"OLKM01002075.1",12,86448
"OLKM01002116.1",12,84296
"OLKM01002162.1",12,82168
"OLKM01002171.1",12,81779
"OLKM01002187.1",12,80533
"OLKM01002212.1",12,79150
"OLKM01002214.1",12,79070
"OLKM01002252.1",12,77078
"OLKM01002317.1",12,74366
"OLKM01002361.1",12,72519
"OLKM01002371.1",12,71955
"OLKM01002381.1",12,71491
"OLKM01002535.1",12,65062
"OLKM01002564.1",12,63950
"OLKM01002584.1",12,62821
"OLKM01002605.1",12,61834
"OLKM01002619.1",12,61300
"OLKM01002696.1",12,57762
"OLKM01002722.1",12,56800
"OLKM01002731.1",12,56504
"OLKM01003074.1",12,44970
"OLKM01003181.1",12,42087
"OLKM01003251.1",12,40130
"OLKM01003672.1",12,32333
"OLKM01003897.1",12,28219
"OLKM01003987.1",12,26805
"OLKM01004088.1",12,25600
"OLKM01004098.1",12,25465
"OLKM01004106.1",12,25377
"OLKM01004112.1",12,25313
"OLKM01004336.1",12,23179
"OLKM01004438.1",12,22436
"OLKM01004460.1",12,22237
"OLKM01004662.1",12,20780
"OLKM01004819.1",12,19865
"OLKM01004827.1",12,19822
"OLKM01004925.1",12,19298
"OLKM01005695.1",12,16221
"OLKM01006462.1",12,14202
"OLKM01006559.1",12,13941
"OLKM01006663.1",12,13685
"OLKM01006703.1",12,13592
"OLKM01007794.1",12,10778
"OLKM01000146.1",11,499846
"OLKM01000235.1",11,423499
"OLKM01000361.1",11,346940
"OLKM01000372.1",11,341515
"OLKM01000432.1",11,318109
"OLKM01000442.1",11,311214
"OLKM01000451.1",11,308930
"OLKM01000453.1",11,308602
"OLKM01000459.1",11,305763
"OLKM01000516.1",11,288742
"OLKM01000525.1",11,287276
"OLKM01000552.1",11,280277
"OLKM01000603.1",11,263548
"OLKM01000615.1",11,258254
"OLKM01000620.1",11,257550
"OLKM01000632.1",11,256244
"OLKM01000636.1",11,255473
"OLKM01000644.1",11,252449
"OLKM01000653.1",11,250605
"OLKM01000662.1",11,248250
"OLKM01000694.1",11,241383
"OLKM01000701.1",11,239087
"OLKM01000717.1",11,235912
"OLKM01000747.1",11,230803
"OLKM01000757.1",11,228254
"OLKM01000771.1",11,225671
"OLKM01000791.1",11,222088
"OLKM01000801.1",11,220538
"OLKM01000870.1",11,210636
"OLKM01000876.1",11,209748
"OLKM01000889.1",11,208131
"OLKM01000891.1",11,207815
"OLKM01000907.1",11,205112
"OLKM01000924.1",11,201044
"OLKM01000938.1",11,198648
"OLKM01000955.1",11,194567
"OLKM01000986.1",11,189976
"OLKM01000997.1",11,187815
"OLKM01000998.1",11,187628
"OLKM01001022.1",11,184394
"OLKM01001025.1",11,183943
"OLKM01001045.1",11,180050
"OLKM01001063.1",11,177074
"OLKM01001066.1",11,177000
"OLKM01001067.1",11,176875
"OLKM01001075.1",11,176399
"OLKM01001081.1",11,175685
"OLKM01001083.1",11,175101
"OLKM01001104.1",11,172289
"OLKM01001106.1",11,172175
"OLKM01001135.1",11,168439
"OLKM01001155.1",11,166625
"OLKM01001174.1",11,164557
"OLKM01001191.1",11,162619
"OLKM01001252.1",11,154527
"OLKM01001293.1",11,149880
"OLKM01001295.1",11,149823
"OLKM01001296.1",11,149773
"OLKM01001315.1",11,148267
"OLKM01001339.1",11,145562
"OLKM01001361.1",11,143592
"OLKM01001366.1",11,142237
"OLKM01001390.1",11,140294
"OLKM01001404.1",11,138988
"OLKM01001421.1",11,137131
"OLKM01001467.1",11,132590
"OLKM01001475.1",11,131893
"OLKM01001483.1",11,131673
"OLKM01001509.1",11,128167
"OLKM01001535.1",11,125944
"OLKM01001551.1",11,123879
"OLKM01001571.1",11,121397
"OLKM01001590.1",11,120372
"OLKM01001596.1",11,119958
"OLKM01001599.1",11,119762
"OLKM01001618.1",11,118702
"OLKM01001682.1",11,113251
"OLKM01001691.1",11,112592
"OLKM01001698.1",11,112331
"OLKM01001712.1",11,111513
"OLKM01001724.1",11,110659
"OLKM01001747.1",11,108842
"OLKM01001883.1",11,98923
"OLKM01001909.1",11,96606
"OLKM01001914.1",11,96252
"OLKM01001961.1",11,92702
"OLKM01001968.1",11,92432
"OLKM01001990.1",11,91408
"OLKM01001995.1",11,91053
"OLKM01002034.1",11,88718
"OLKM01002036.1",11,88711
"OLKM01002058.1",11,87390
"OLKM01002107.1",11,84750
"OLKM01002111.1",11,84650
"OLKM01002189.1",11,80312
"OLKM01002209.1",11,79302
"OLKM01002273.1",11,76197
"OLKM01002277.1",11,75954
"OLKM01002296.1",11,75138
"OLKM01002325.1",11,74195
"OLKM01002341.1",11,73407
"OLKM01002358.1",11,72679
"OLKM01002366.1",11,72283
"OLKM01002382.1",11,71437
"OLKM01002428.1",11,69609
"OLKM01002473.1",11,67447
"OLKM01002476.1",11,67416
"OLKM01002655.1",11,59617
"OLKM01002671.1",11,58947
"OLKM01002869.1",11,51644
"OLKM01002957.1",11,48602
"OLKM01003036.1",11,46244
"OLKM01003162.1",11,42571
"OLKM01003224.1",11,40914
"OLKM01003349.1",11,38307
"OLKM01003523.1",11,34746
"OLKM01003546.1",11,34260
"OLKM01003765.1",11,30296
"OLKM01003770.1",11,30257
"OLKM01003881.1",11,28422
"OLKM01003904.1",11,27999
"OLKM01004214.1",11,24238
"OLKM01004348.1",11,23090
"OLKM01004514.1",11,21867
"OLKM01004976.1",11,19064
"OLKM01005425.1",11,17204
"OLKM01005542.1",11,16822
"OLKM01005579.1",11,16709
"OLKM01005633.1",11,16526
"OLKM01005821.1",11,15842
"OLKM01006003.1",11,15340
"OLKM01006683.1",11,13642
"OLKM01006793.1",11,13394
"OLKM01007028.1",11,12819
"OLKM01007073.1",11,12696
"OLKM01007286.1",11,12128
"OLKM01007314.1",11,12067
"OLKM01007402.1",11,11897
"OLKM01007426.1",11,11848
"OLKM01007456.1",11,11783
"OLKM01007767.1",11,10859
"OLKM01007960.1",11,10240
"OLKM01000365.1",10,346211
"OLKM01000447.1",10,309266
"OLKM01000492.1",10,294730
"OLKM01000495.1",10,293847
"OLKM01000498.1",10,292864
"OLKM01000545.1",10,281514
"OLKM01000549.1",10,280621
"OLKM01000567.1",10,275820
"OLKM01000586.1",10,269208
"OLKM01000594.1",10,265803
"OLKM01000638.1",10,254456
"OLKM01000652.1",10,250633
"OLKM01000720.1",10,235493
"OLKM01000746.1",10,231028
"OLKM01000810.1",10,218879
"OLKM01000831.1",10,216589
"OLKM01000838.1",10,215396
"OLKM01000842.1",10,214952
"OLKM01000851.1",10,212914
"OLKM01000878.1",10,209289
"OLKM01000887.1",10,208265
"OLKM01000890.1",10,208130
"OLKM01000902.1",10,205868
"OLKM01000927.1",10,200752
"OLKM01000969.1",10,193181
"OLKM01000990.1",10,189078
"OLKM01000992.1",10,188319
"OLKM01001013.1",10,185631
"OLKM01001017.1",10,185288
"OLKM01001029.1",10,183016
"OLKM01001052.1",10,178830
"OLKM01001089.1",10,174083
"OLKM01001091.1",10,173362
"OLKM01001096.1",10,172990
"OLKM01001119.1",10,170642
"OLKM01001159.1",10,166343
"OLKM01001185.1",10,162954
"OLKM01001233.1",10,157123
"OLKM01001237.1",10,156344
"OLKM01001241.1",10,156017
"OLKM01001242.1",10,155984
"OLKM01001265.1",10,152389
"OLKM01001272.1",10,151690
"OLKM01001279.1",10,150907
"OLKM01001291.1",10,149918
"OLKM01001294.1",10,149827
"OLKM01001326.1",10,147211
"OLKM01001347.1",10,145009
"OLKM01001354.1",10,144429
"OLKM01001363.1",10,143033
"OLKM01001368.1",10,142022
"OLKM01001377.1",10,141289
"OLKM01001391.1",10,140123
"OLKM01001413.1",10,138094
"OLKM01001417.1",10,137598
"OLKM01001422.1",10,137125
"OLKM01001438.1",10,135625
"OLKM01001451.1",10,134446
"OLKM01001463.1",10,133187
"OLKM01001464.1",10,133114
"OLKM01001499.1",10,129996
"OLKM01001506.1",10,128364
"OLKM01001510.1",10,128164
"OLKM01001518.1",10,127626
"OLKM01001548.1",10,124304
"OLKM01001553.1",10,123575
"OLKM01001563.1",10,122309
"OLKM01001589.1",10,120394
"OLKM01001600.1",10,119759
"OLKM01001609.1",10,119386
"OLKM01001610.1",10,119328
"OLKM01001631.1",10,117560
"OLKM01001647.1",10,116465
"OLKM01001654.1",10,116137
"OLKM01001664.1",10,115344
"OLKM01001668.1",10,114635
"OLKM01001701.1",10,112246
"OLKM01001739.1",10,109296
"OLKM01001752.1",10,108391
"OLKM01001757.1",10,107830
"OLKM01001762.1",10,107290
"OLKM01001769.1",10,106695
"OLKM01001783.1",10,105807
"OLKM01001786.1",10,105541
"OLKM01001823.1",10,103149
"OLKM01001900.1",10,97583
"OLKM01001917.1",10,96129
"OLKM01001939.1",10,94653
"OLKM01001943.1",10,94220
"OLKM01002010.1",10,89879
"OLKM01002081.1",10,86103
"OLKM01002118.1",10,84243
"OLKM01002153.1",10,82752
"OLKM01002155.1",10,82650
"OLKM01002249.1",10,77256
"OLKM01002301.1",10,74899
"OLKM01002313.1",10,74461
"OLKM01002323.1",10,74222
"OLKM01002415.1",10,70151
"OLKM01002560.1",10,64172
"OLKM01002596.1",10,62078
"OLKM01002637.1",10,60589
"OLKM01002661.1",10,59284
"OLKM01002739.1",10,56276
"OLKM01002800.1",10,54409
"OLKM01002828.1",10,53257
"OLKM01002840.1",10,52880
"OLKM01002859.1",10,52049
"OLKM01002995.1",10,47386
"OLKM01003004.1",10,47154
"OLKM01003205.1",10,41365
"OLKM01003226.1",10,40886
"OLKM01003228.1",10,40823
"OLKM01003421.1",10,36745
"OLKM01003443.1",10,36399
"OLKM01003508.1",10,34999
"OLKM01003524.1",10,34727
"OLKM01003562.1",10,33979
"OLKM01003796.1",10,29822
"OLKM01003809.1",10,29606
"OLKM01003855.1",10,28845
"OLKM01004107.1",10,25372
"OLKM01004227.1",10,24152
"OLKM01004253.1",10,23947
"OLKM01004275.1",10,23735
"OLKM01004328.1",10,23240
"OLKM01004527.1",10,21790
"OLKM01004528.1",10,21784
"OLKM01004665.1",10,20766
"OLKM01004668.1",10,20756
"OLKM01004691.1",10,20586
"OLKM01004787.1",10,20073
"OLKM01004894.1",10,19430
"OLKM01005339.1",10,17498
"OLKM01005369.1",10,17403
"OLKM01005422.1",10,17220
"OLKM01005430.1",10,17194
"OLKM01005497.1",10,16960
"OLKM01005548.1",10,16799
"OLKM01005640.1",10,16488
"OLKM01005708.1",10,16165
"OLKM01005874.1",10,15705
"OLKM01006082.1",10,15162
"OLKM01006186.1",10,14908
"OLKM01006190.1",10,14905
"OLKM01006347.1",10,14504
"OLKM01006873.1",10,13196
"OLKM01007151.1",10,12498
"OLKM01007349.1",10,12002
"OLKM01007372.1",10,11956
"OLKM01007666.1",10,11158
"OLKM01007799.1",10,10766
"OLKM01008071.1",10,9493
"OLKM01000193.1",9,458049
"OLKM01000247.1",9,410158
"OLKM01000297.1",9,382272
"OLKM01000406.1",9,327879
"OLKM01000440.1",9,312237
"OLKM01000551.1",9,280343
"OLKM01000566.1",9,275952
"OLKM01000568.1",9,275741
"OLKM01000599.1",9,264616
"OLKM01000707.1",9,237833
"OLKM01000709.1",9,237543
"OLKM01000712.1",9,236809
"OLKM01000741.1",9,231918
"OLKM01000754.1",9,228794
"OLKM01000761.1",9,227938
"OLKM01000768.1",9,226309
"OLKM01000785.1",9,223049
"OLKM01000803.1",9,220364
"OLKM01000821.1",9,217333
"OLKM01000827.1",9,216962
"OLKM01000906.1",9,205122
"OLKM01000911.1",9,204386
"OLKM01000918.1",9,202883
"OLKM01000922.1",9,201355
"OLKM01000936.1",9,198902
"OLKM01000960.1",9,194273
"OLKM01000972.1",9,192483
"OLKM01000983.1",9,190499
"OLKM01000995.1",9,188285
"OLKM01001035.1",9,181680
"OLKM01001040.1",9,180415
"OLKM01001047.1",9,179801
"OLKM01001084.1",9,174561
"OLKM01001100.1",9,172713
"OLKM01001114.1",9,171160
"OLKM01001116.1",9,171075
"OLKM01001124.1",9,169754
"OLKM01001131.1",9,168646
"OLKM01001143.1",9,167763
"OLKM01001146.1",9,167416
"OLKM01001148.1",9,167216
"OLKM01001169.1",9,165020
"OLKM01001182.1",9,163471
"OLKM01001183.1",9,163441
"OLKM01001195.1",9,161913
"OLKM01001214.1",9,160090
"OLKM01001255.1",9,153972
"OLKM01001258.1",9,153624
"OLKM01001269.1",9,151852
"OLKM01001275.1",9,151565
"OLKM01001289.1",9,149976
"OLKM01001304.1",9,149129
"OLKM01001307.1",9,148988
"OLKM01001319.1",9,147985
"OLKM01001348.1",9,144968
"OLKM01001388.1",9,140539
"OLKM01001408.1",9,138637
"OLKM01001425.1",9,136890
"OLKM01001430.1",9,136533
"OLKM01001457.1",9,133737
"OLKM01001476.1",9,131889
"OLKM01001542.1",9,124945
"OLKM01001552.1",9,123613
"OLKM01001580.1",9,120782
"OLKM01001606.1",9,119472
"OLKM01001623.1",9,118428
"OLKM01001642.1",9,117036
"OLKM01001675.1",9,114255
"OLKM01001707.1",9,111924
"OLKM01001728.1",9,110358
"OLKM01001758.1",9,107802
"OLKM01001779.1",9,106065
"OLKM01001788.1",9,105388
"OLKM01001794.1",9,104897
"OLKM01001795.1",9,104876
"OLKM01001805.1",9,104234
"OLKM01001810.1",9,103910
"OLKM01001811.1",9,103897
"OLKM01001856.1",9,100836
"OLKM01001899.1",9,97655
"OLKM01001904.1",9,97258
"OLKM01001936.1",9,94807
"OLKM01001954.1",9,93436
"OLKM01001958.1",9,92890
"OLKM01001976.1",9,92077
"OLKM01001999.1",9,90880
"OLKM01002002.1",9,90567
"OLKM01002019.1",9,89712
"OLKM01002040.1",9,88513
"OLKM01002088.1",9,85910
"OLKM01002122.1",9,84136
"OLKM01002154.1",9,82722
"OLKM01002160.1",9,82260
"OLKM01002247.1",9,77449
"OLKM01002290.1",9,75406
"OLKM01002346.1",9,73108
"OLKM01002438.1",9,68974
"OLKM01002590.1",9,62405
"OLKM01002594.1",9,62113
"OLKM01002604.1",9,61862
"OLKM01002607.1",9,61757
"OLKM01002654.1",9,59648
"OLKM01002688.1",9,57911
"OLKM01002735.1",9,56405
"OLKM01002738.1",9,56366
"OLKM01002772.1",9,55207
"OLKM01002786.1",9,54794
"OLKM01002808.1",9,53999
"OLKM01002873.1",9,51574
"OLKM01002926.1",9,49848
"OLKM01002932.1",9,49513
"OLKM01002934.1",9,49453
"OLKM01002955.1",9,48611
"OLKM01002962.1",9,48217
"OLKM01002965.1",9,48007
"OLKM01002992.1",9,47446
"OLKM01003026.1",9,46511
"OLKM01003073.1",9,45035
"OLKM01003123.1",9,43478
"OLKM01003211.1",9,41225
"OLKM01003411.1",9,36998
"OLKM01003449.1",9,36281
"OLKM01003459.1",9,36108
"OLKM01003531.1",9,34640
"OLKM01003553.1",9,34137
"OLKM01003588.1",9,33620
"OLKM01003817.1",9,29465
"OLKM01003860.1",9,28823
"OLKM01004007.1",9,26615
"OLKM01004011.1",9,26549
"OLKM01004124.1",9,25157
"OLKM01004162.1",9,24731
"OLKM01004301.1",9,23539
"OLKM01004455.1",9,22268
"OLKM01004720.1",9,20434
"OLKM01004745.1",9,20275
"OLKM01004748.1",9,20257
"OLKM01004865.1",9,19567
"OLKM01004924.1",9,19304
"OLKM01004967.1",9,19108
"OLKM01005003.1",9,18949
"OLKM01005103.1",9,18397
"OLKM01005153.1",9,18226
"OLKM01005406.1",9,17266
"OLKM01005435.1",9,17174
"OLKM01005629.1",9,16545
"OLKM01005813.1",9,15863
"OLKM01005837.1",9,15805
"OLKM01006045.1",9,15238
"OLKM01006098.1",9,15118
"OLKM01006167.1",9,14959
"OLKM01006189.1",9,14905
"OLKM01006419.1",9,14326
"OLKM01006547.1",9,13968
"OLKM01006595.1",9,13865
"OLKM01006649.1",9,13727
"OLKM01006686.1",9,13637
"OLKM01006850.1",9,13251
"OLKM01007025.1",9,12823
"OLKM01007068.1",9,12705
"OLKM01007267.1",9,12169
"OLKM01007644.1",9,11212
"OLKM01008104.1",9,8741
"OLKM01000293.1",8,382823
"OLKM01000373.1",8,341023
"OLKM01000422.1",8,321748
"OLKM01000474.1",8,300205
"OLKM01000534.1",8,284789
"OLKM01000556.1",8,279395
"OLKM01000558.1",8,278788
"OLKM01000573.1",8,274692
"OLKM01000584.1",8,269372
"OLKM01000611.1",8,260245
"OLKM01000651.1",8,250679
"OLKM01000663.1",8,248203
"OLKM01000669.1",8,246692
"OLKM01000675.1",8,245743
"OLKM01000682.1",8,244554
"OLKM01000697.1",8,240329
"OLKM01000700.1",8,239497
"OLKM01000733.1",8,232952
"OLKM01000755.1",8,228498
"OLKM01000765.1",8,227183
"OLKM01000788.1",8,222204
"OLKM01000824.1",8,217084
"OLKM01000848.1",8,213395
"OLKM01000858.1",8,211517
"OLKM01000860.1",8,211471
"OLKM01000861.1",8,211403
"OLKM01000874.1",8,209915
"OLKM01000881.1",8,209109
"OLKM01000921.1",8,201710
"OLKM01000946.1",8,196553
"OLKM01000977.1",8,191685
"OLKM01000980.1",8,191090
"OLKM01001073.1",8,176522
"OLKM01001076.1",8,176321
"OLKM01001077.1",8,176159
"OLKM01001094.1",8,173100
"OLKM01001102.1",8,172576
"OLKM01001120.1",8,170594
"OLKM01001128.1",8,168790
"OLKM01001137.1",8,168150
"OLKM01001160.1",8,166322
"OLKM01001187.1",8,162876
"OLKM01001190.1",8,162634
"OLKM01001194.1",8,161969
"OLKM01001213.1",8,160136
"OLKM01001253.1",8,154181
"OLKM01001263.1",8,152620
"OLKM01001284.1",8,150581
"OLKM01001308.1",8,148898
"OLKM01001312.1",8,148544
"OLKM01001317.1",8,148021
"OLKM01001329.1",8,146975
"OLKM01001359.1",8,143852
"OLKM01001372.1",8,141704
"OLKM01001376.1",8,141299
"OLKM01001396.1",8,139668
"OLKM01001405.1",8,138890
"OLKM01001411.1",8,138409
