"","Loc","scaffold","position","gff_scaffold","scaffold.1","V2","feature_type","start","end","V6","V7","V8","ID","Name","Alias","Note"
"74","OLKM01001580.1 70315","OLKM01001580.1",70316,"MeA_20160214_scaffold_1579","OLKM01001580.1","maker","gene",13006,74952,".","-",".","ID=MEAE_00065167","MEAE_00065167","Alias=maker-MeA_20160214_scaffold_1579-snap-gene-0.81","Similar to HK1: Hexokinase-1 (Homo sapiens)"
"75","OLKM01001599.1 22020","OLKM01001599.1",22021,"MeA_20160214_scaffold_1598","OLKM01001599.1","maker","gene",16197,24240,".","-",".","ID=MEAE_00065471","MEAE_00065471","Alias=maker-MeA_20160214_scaffold_1598-augustus-gene-0.51","Similar to kdelr2: ER lumen protein-retaining receptor 2 (Danio rerio)"
"76","OLKM01001652.1 91386","OLKM01001652.1",91387,"MeA_20160214_scaffold_1651","OLKM01001652.1","maker","gene",88631,97042,".","-",".","ID=MEAE_00066412","MEAE_00066412","Alias=maker-MeA_20160214_scaffold_1651-augustus-gene-0.76","Similar to PDX1: Pancreas/duodenum homeobox protein 1 (Pan troglodytes)"
"76.4","OLKM01001652.1 91386","OLKM01001652.1",91387,"MeA_20160214_scaffold_1651","OLKM01001652.1","maker","gene",91120,91414,".","+",".","ID=MEAE_00066413","MEAE_00066413","Alias=snap_masked-MeA_20160214_scaffold_1651-processed-gene-0.50","Protein of unknown function"
"77","OLKM01001691.1 36918","OLKM01001691.1",36919,"MeA_20160214_scaffold_1690","OLKM01001691.1","maker","gene",35451,47800,".","-",".","ID=MEAE_00067044","MEAE_00067044","Alias=maker-MeA_20160214_scaffold_1690-snap-gene-0.80","Similar to AHI1: Jouberin (Homo sapiens)"
"79","OLKM01001806.1 26855","OLKM01001806.1",26856,"MeA_20160214_scaffold_1805","OLKM01001806.1","maker","gene",26792,34977,".","+",".","ID=MEAE_00068799","MEAE_00068799","Alias=maker-MeA_20160214_scaffold_1805-snap-gene-0.67","Protein of unknown function"
"79.4","OLKM01001806.1 26855","OLKM01001806.1",26856,"MeA_20160214_scaffold_1805","OLKM01001806.1","maker","gene",26666,31766,".","-",".","ID=MEAE_00068798","MEAE_00068798","Alias=genemark-MeA_20160214_scaffold_1805-processed-gene-0.31","Protein of unknown function"
"81","OLKM01001978.1 10601","OLKM01001978.1",10602,"MeA_20160214_scaffold_1977","OLKM01001978.1","maker","gene",10577,11128,".","+",".","ID=MEAE_00071285","MEAE_00071285","Alias=snap_masked-MeA_20160214_scaffold_1977-processed-gene-0.35","Protein of unknown function"
"83","OLKM01002149.1 9826","OLKM01002149.1",9827,"MeA_20160214_scaffold_2148","OLKM01002149.1","maker","gene",2652,14672,".","-",".","ID=MEAE_00073566","MEAE_00073566","Alias=genemark-MeA_20160214_scaffold_2148-processed-gene-0.20","Similar to Tbc1d17: TBC1 domain family member 17 (Mus musculus)"
"83.2","OLKM01002149.1 9826","OLKM01002149.1",9827,"MeA_20160214_scaffold_2148","OLKM01002149.1","maker","gene",4915,12133,".","+",".","ID=MEAE_00073567","MEAE_00073567","Alias=snap_masked-MeA_20160214_scaffold_2148-processed-gene-0.45","Protein of unknown function"
"84","OLKM01002160.1 28974","OLKM01002160.1",28975,"MeA_20160214_scaffold_2159","OLKM01002160.1","maker","gene",25998,30896,".","+",".","ID=MEAE_00073694","MEAE_00073694","Alias=genemark-MeA_20160214_scaffold_2159-processed-gene-0.3","Similar to TET2: Methylcytosine dioxygenase TET2 (Homo sapiens)"
"84.4","OLKM01002160.1 28974","OLKM01002160.1",28975,"MeA_20160214_scaffold_2159","OLKM01002160.1","maker","gene",16967,29167,".","-",".","ID=MEAE_00073693","MEAE_00073693","Alias=snap_masked-MeA_20160214_scaffold_2159-processed-gene-0.21","Protein of unknown function"
"86","OLKM01002271.1 8176","OLKM01002271.1",8177,"MeA_20160214_scaffold_2270","OLKM01002271.1","maker","gene",1,10575,".","-",".","ID=MEAE_00074859","MEAE_00074859","Alias=maker-MeA_20160214_scaffold_2270-augustus-gene-0.58","Protein of unknown function"
"87","OLKM01002367.1 28546","OLKM01002367.1",28547,"MeA_20160214_scaffold_2366","OLKM01002367.1","maker","gene",26573,34463,".","+",".","ID=MEAE_00075934","MEAE_00075934","Alias=maker-MeA_20160214_scaffold_2366-snap-gene-0.34","Similar to GSE1: Genetic suppressor element 1 (Homo sapiens)"
"89","OLKM01002664.1 3017","OLKM01002664.1",3018,"MeA_20160214_scaffold_2663","OLKM01002664.1","maker","gene",1783,3931,".","-",".","ID=MEAE_00078811","MEAE_00078811","Alias=genemark-MeA_20160214_scaffold_2663-processed-gene-0.9","Protein of unknown function"
"90","OLKM01002695.1 40971","OLKM01002695.1",40972,"MeA_20160214_scaffold_2694","OLKM01002695.1","maker","gene",38529,42870,".","-",".","ID=MEAE_00079069","MEAE_00079069","Alias=maker-MeA_20160214_scaffold_2694-snap-gene-0.50","Similar to TRIM16: Tripartite motif-containing protein 16 (Homo sapiens)"
"91","OLKM01002731.1 22685","OLKM01002731.1",22686,"MeA_20160214_scaffold_2730","OLKM01002731.1","maker","gene",21606,25701,".","-",".","ID=MEAE_00079387","MEAE_00079387","Alias=snap_masked-MeA_20160214_scaffold_2730-processed-gene-0.40","Protein of unknown function"
"92","OLKM01002864.1 42401","OLKM01002864.1",42402,"MeA_20160214_scaffold_2863","OLKM01002864.1","maker","gene",41600,46696,".","+",".","ID=MEAE_00080505","MEAE_00080505","Alias=augustus_masked-MeA_20160214_scaffold_2863-processed-gene-0.19","Similar to Rasl10b: Ras-like protein family member 10B (Mus musculus)"
"92.4","OLKM01002864.1 42401","OLKM01002864.1",42402,"MeA_20160214_scaffold_2863","OLKM01002864.1","maker","gene",22107,49878,".","-",".","ID=MEAE_00080503","MEAE_00080503","Alias=maker-MeA_20160214_scaffold_2863-snap-gene-0.41","Protein of unknown function"
"97","OLKM01003916.1 18642","OLKM01003916.1",18643,"MeA_20160214_scaffold_3915","OLKM01003916.1","maker","gene",15713,26588,".","-",".","ID=MEAE_00086331","MEAE_00086331","Alias=snap_masked-MeA_20160214_scaffold_3915-processed-gene-0.15","Protein of unknown function"
"98","OLKM01004105.1 13352","OLKM01004105.1",13353,"MeA_20160214_scaffold_4104","OLKM01004105.1","maker","gene",11022,15098,".","-",".","ID=MEAE_00087006","MEAE_00087006","Alias=maker-MeA_20160214_scaffold_4104-augustus-gene-0.8","Similar to MR1: Major histocompatibility complex class I-related gene protein (Pongo abelii)"
"99","OLKM01004222.1 9826","OLKM01004222.1",9827,"MeA_20160214_scaffold_4221","OLKM01004222.1","maker","gene",4194,19007,".","+",".","ID=MEAE_00087423","MEAE_00087423","Alias=snap_masked-MeA_20160214_scaffold_4221-processed-gene-0.5","Protein of unknown function"
"99.2","OLKM01004222.1 9826","OLKM01004222.1",9827,"MeA_20160214_scaffold_4221","OLKM01004222.1","maker","gene",4708,23988,".","-",".","ID=MEAE_00087424","MEAE_00087424","Alias=snap_masked-MeA_20160214_scaffold_4221-processed-gene-0.6","Protein of unknown function"
"100","OLKM01004312.1 9170","OLKM01004312.1",9171,"MeA_20160214_scaffold_4311","OLKM01004312.1","maker","gene",2306,9540,".","-",".","ID=MEAE_00087747","MEAE_00087747","Alias=maker-MeA_20160214_scaffold_4311-augustus-gene-0.12","Protein of unknown function"
"103","OLKM01006422.1 535","OLKM01006422.1",536,"MeA_20160214_scaffold_6421","OLKM01006422.1","maker","gene",282,2774,".","+",".","ID=MEAE_00093149","MEAE_00093149","Alias=maker-MeA_20160214_scaffold_6421-snap-gene-0.12","Protein of unknown function"
"105","OLKM01006686.1 2685","OLKM01006686.1",2686,"MeA_20160214_scaffold_6685","OLKM01006686.1","maker","gene",2148,10473,".","+",".","ID=MEAE_00093707","MEAE_00093707","Alias=snap_masked-MeA_20160214_scaffold_6685-processed-gene-0.6","Protein of unknown function"
"107","OLKM01007004.1 3631","OLKM01007004.1",3632,"MeA_20160214_scaffold_7003","OLKM01007004.1","maker","gene",1620,4722,".","+",".","ID=MEAE_00094308","MEAE_00094308","Alias=maker-MeA_20160214_scaffold_7003-snap-gene-0.4","Protein of unknown function"
"109","OLKM01008299.1 3009","OLKM01008299.1",3010,"MeA_20160214_scaffold_8298","OLKM01008299.1","maker","gene",2084,3514,".","-",".","ID=MEAE_00096500","MEAE_00096500","Alias=snap_masked-MeA_20160214_scaffold_8298-processed-gene-0.2","Protein of unknown function"
